id,video,title,upload_date,channel,views,description,chapters,count,date_updated
11,iwGu-xTFNgE,,,,,,,9,3062025
12,rxeQiSezhyI,Driving from Andorra 🇦🇩 to Spain 🇪🇸 | Drive from the City of Andorra la Vella to the Town of Toses,5112023,UCcwGwvM5iPB9IvtTnMTVcEg,142576,"Jump into the driver's seat on this drive from the City of Andorra la Vella, in the country of Andorra, to the Town of Toses in Spain. Our drive starts in the the City of Andorra la Vella, which is the Capital city of Andorra. The country of Andorra is a mountainous microstate between France and Spain, and has population of approximately 79,000 people. On the way to Toses in Spain, we drive through the beautiful mountainous region of Catalonia in the foothills of the Pyrenees mountains. We arrive in the charming little town of Toses, Spain after a drive time of 1 Hour 34 Minutes 🛑Please Subscribe➤http://bit.ly/-STV  Sit Back, Relax, and Enjoy watching this FULL-length scenic road trip video in 4K quality. This Relaxing Video is best watched on a 4K big-screen TV with your legs stretched out on a big comfy couch. Optional, mute the video sound and play your favorite music along with the video.  ***** Route Info ***** ◎ Drive Date: October 2023 ◎ Start: City of Andorra la Vella, Andorra ◎ End: Toses, Spain ◎ Drive Distance from Andorra la Vella to Toses: 84 km / 52 mi ◎ Drive Time from Andorra la Vella to Toses: 1 Hour 34 Minutes ◎ Route: https://maps.app.goo.gl/Wk57GtM6sxPzCBvw8  ***** Places and Interesting points along the route ***** • 0:00 - City of Andorra la Vella (Capital city of Andorra), Andorra • 9:42 - Santa Coloma, Andorra • 14:18 - Sant Julià de Lòria, Andorra • 27:20 - Andorra-Spain border • 27:42 - Spain | España • 32:59 - La Seu d’Urgell, Spain • 52:47 - Martinet, Spain • 59:41 - Bellver de Cerdanya, Spain • 1:05:23 - Prats, Spain • 1:16:54 - La Molina, Spain • 1:33:47 - Toses, Spain  #Andorra #Spain #Pyrenees #RoadTrip #TravelVideo #ScenicView #ScenicDrive","[{'title': 'City of Andorra la Vella (Capital city of Andorra), Andorra', 'timestamp': '0:00:00'}, {'title': 'Santa Coloma, Andorra', 'timestamp': '0:09:42'}, {'title': 'Sant Julià de Lòria, Andorra', 'timestamp': '0:14:18'}, {'title': 'Andorra-Spain border', 'timestamp': '0:27:20'}, {'title': 'Spain | España', 'timestamp': '0:27:42'}, {'title': 'La Seu d’Urgell, Spain', 'timestamp': '0:32:59'}, {'title': 'Martinet, Spain', 'timestamp': '0:52:47'}, {'title': 'Bellver de Cerdanya, Spain', 'timestamp': '0:59:41'}, {'title': 'Prats, Spain', 'timestamp': '1:05:23'}, {'title': 'La Molina, Spain', 'timestamp': '1:16:54'}, {'title': 'Toses, Spain', 'timestamp': '1:33:47'}]",8,3062025
13,JjqRxVV5X7Q,England 4K - Southern Coast - Scenic Drive,29042022,UCBcVQr-07MH-p9e2kRTdB3A,157993,"Monday afternoon road trip along the southern coast of England, through the Dorset Area of Outstanding Natural Beauty, also known as the Jurassic Coast. Video starts in Dorchester,  continues along the coast and through small villages, and ends in Lyme Regis.  Love all these small English villages!  Filmed in 4K60FPS HDR.  Let me know how it looks on your display please! Route: https://goo.gl/maps/J3gAMe5v1Wm3SDWk7 . Dorset is a county in South West England on the English Channel coast.  Dorset has a varied landscape featuring broad elevated chalk downs, steep limestone ridges and low-lying clay valleys. Over half the county is designated as an Area of Outstanding Natural Beauty. Three-quarters of its coastline is part of the Jurassic Coast Natural World Heritage Site due to its geological and palaeontologic significance. It features notable landforms such as Lulworth Cove, the Isle of Portland, Chesil Beach and Durdle Door. Agriculture was traditionally the major industry of Dorset but is now in decline and tourism has become increasingly important to the economy. There are no motorways in Dorset but a network of A roads cross the county and two railway main lines connect to London. Dorset has ports at Poole, Weymouth and Portland, and an international airport near Bournemouth. The county has a variety of museums, theatres and festivals, and is host to the Great Dorset Steam Fair, one of the biggest events of its kind in Europe. It is the birthplace of Thomas Hardy, who used the county as the principal setting of his novels, and William Barnes, whose poetry celebrates the ancient Dorset dialect.  https://en.wikipedia.org/wiki/Dorset  The Jurassic Coast is a World Heritage Site on the English Channel coast of southern England. It stretches from Exmouth in East Devon to Studland Bay in Dorset, a distance of about 96 miles (154 km), and was inscribed on the World Heritage List in mid-December 2001.  The site spans 185 million years of geological history, coastal erosion having exposed an almost continuous sequence of rock formation covering the Triassic, Jurassic and Cretaceous periods. At different times, this area has been desert, shallow tropical sea and marsh, and the fossilised remains of the various creatures that lived here have been preserved in the rocks.  https://en.wikipedia.org/wiki/Jurassic_Coast  https://www.dorsetaonb.org.uk/",[],8,3062025
14,N3sk3HU3kJ4,Driving Around the Entire Coastline of Nauru in 30 Minutes!,4032024,UCc44EwbrUfM36gpu_Yx0I9A,1698,This is a drive recorded in one of the smallest countries in the world Nauru which is an Island Nation located in the Pacific Ocean.,[],8,3062025
15,Iqg48tDqPEY,"Driving from Feldkirch, Austria to Liechtenstein",6112024,UC1EyY4iqdnCB1MIL5JVe6bg,2552,Video recorded on 2024 October,[],8,3062025
16,uZDBUddORzo,Driving in Liechtenstein (Road Trip to Cannes 2018),16062018,UCLybjxNRc6s3QXSmXOzTRxQ,20984,"This is part of our European Road Trip 2018 from the  UK to Cannes for a music conference called MIDEM.  Starting off from the ski-resort village of Malbun, and working my way down to Vaduz, through bits of Switzerland and Austria, though I had to pull over and take my dashcam off in Austria for obvious reasons.",[],8,3062025
17,ofIfvlKLb8k,Faroe Islands drive series ⑤ From Tórshavn to Klaksvík Faroe Islands 🇫🇴 October 2023,1072024,UCH1Mp77_k2IWQVs7BIdm_Fg,354,#travel #2023 #europe #greatview #denmark #faroeislands #driving #travellife #beautifuldestinations,[],8,3062025
18,sgu73NaHaDU,Eritrea-4K - Scenic Drive Keren To Asmara With Music 🇪🇷,30102024,UCVqqZf52GTU6DQLsTHgghfA,28595,Eritrea is one of Africa's hidden gems. Enjoy this 4k Scenic Relaxation film across Eritrea's diverse terrain. This is some of the epic landscapes and beautiful scenery you’ll see when you drive between the Keren and the Asmara… Where we call home. #ERITREA MUSIC #ERITREA CLASSIC MUSIC,[],7,3062025
19,ysVHFV6mD1E,,,,,,,7,3062025
20,1ei0P2veSek,Driving from Burgas to Varna - Bulgarian countryside 🇧🇬,23052021,UCqgzBDk_OGZPF8o33zWo2dw,12441,"Driving north from the Bulgarian coastal city of Burgas (Бургас) to the city of Varna (Варна), on the Black Sea coast. Routes 906, 9061 and the route 9 after Slanchev Bryag. Passed through the towns of: 0:00 Road 906 0:59 Laka (Лъка) 3:05 Kableshkovo (Каблешково) 10:02 Slanchev Bryag / Sunny Beach (Слънчев бряг), Banya (Баня) 18:58 Obzor (Обзор) 22:17 Byala (Бяла) 25:36 Staro Oryahovo (Старо Оряхово) 31:01 Priseltsi (Приселци) 37:53 Varna (Варна) Filmed with Nikon Coolpix AW110  Driving Renault Captur","[{'title': 'Road 906', 'timestamp': '0:00:00'}, {'title': 'Laka (Лъка)', 'timestamp': '0:00:59'}, {'title': 'Kableshkovo (Каблешково)', 'timestamp': '0:03:05'}, {'title': 'Slanchev Bryag / Sunny Beach (Слънчев бряг), Banya (Баня)', 'timestamp': '0:10:02'}, {'title': 'Obzor (Обзор)', 'timestamp': '0:18:58'}, {'title': 'Byala (Бяла)', 'timestamp': '0:22:17'}, {'title': 'Staro Oryahovo (Старо Оряхово)', 'timestamp': '0:25:36'}, {'title': 'Priseltsi (Приселци)', 'timestamp': '0:31:01'}, {'title': 'Varna (Варна)', 'timestamp': '0:37:53'}]",7,3062025
21,gxyoPAvRkjc,,,,,,,7,3062025
22,H9_Rau0GI38,Rainbow Road - Alps 4K Drive - Europe,7072022,UCBcVQr-07MH-p9e2kRTdB3A,950589,"Scenic drive from Italy to Switzerland, with a stunning double rainbow, over the Alps Maloja Pass, through the rain!  *Watch on HDR TV and let me know feedback on picture quality please!*  Route: https://goo.gl/maps/5m8quyLkmB8YeN28A .  Settings: 4K60FPS HDR HEVC Say ""Hello!"" on Instagram: https://instagram.com/utahj199 ""I Love Miami"" T-Shirts Here!:  https://j-utah-teespring-store.creator-spring.com  The Alps are the highest and most extensive mountain range system that lies entirely in Europe, stretching approximately 750 mi across eight Alpine countries: France, Switzerland, Monaco, Italy, Liechtenstein, Austria, Germany, and Slovenia.   https://en.wikipedia.org/wiki/Alps",[],7,3062025
23,4JGihlChyQo,Driving Southern California San Diego Coast in 8K Dolby Vision HDR - Oceanside to Coronado,11102023,UCX_uGzVgYJuo_iuYSBqEr4g,415688,"I hope you enjoy this 2.5 hour drive along the coast of San Diego in California! In this epic driving video, we take you on a road trip from the charming town of Oceanside, all the way to the breathtaking Coronado Island.   Our road trip begins in Oceanside, a coastal gem known for its long sandy beaches, vibrant pier, and relaxed beach town atmosphere. We'll start by exploring the iconic Oceanside Pier and its surroundings, enjoying the crashing waves and the sight of surfers catching their perfect waves.  As we hit the road, you'll witness the transformation of the landscape from laid-back beachfront to the bustling city life of San Diego. Cruise along the historic Highway 101, which offers picturesque views and a glimpse of charming beach communities that make up the heart of Southern California.  Our journey continues through the scenic towns of Carlsbad, Encinitas, and La Jolla, each with its unique attractions and breathtaking coastal vistas. We'll make pit stops to explore the coastal cliffs and reveal some hidden gems along the way.  We also take a quick stop at University of San Diego on student move in day.  The drive takes us past the magnificent Torrey Pines State Natural Reserve and down the scenic coastline of San Diego, where you'll catch glimpses of picturesque beaches, coastal parks, and the Torrey Pines Golf Course.  Finally, our adventure reaches its grand finale as we cross the iconic Coronado Bridge, offering breathtaking views of the San Diego skyline. Welcome to the enchanting Coronado Island, renowned for its pristine beaches, historic Hotel del Coronado, and vibrant arts scene.  The Top Gun Maverick beach volleyball scene was filmed here.  Join us on this unforgettable San Diego coastal journey that captures the essence of this beautiful region. Whether you're planning your own road trip or just looking for a virtual escape, this video will inspire and immerse you in the natural beauty and rich culture of San Diego.  Don't forget to like, subscribe, and hit the notification bell to stay updated with our travel adventures. Share your thoughts in the comments below and let us know if you've experienced this iconic coastal drive yourself!  If you enjoyed this video please like and subscribe and I will create more videos like it.  I will reply to every comment on this video. Thank you for your support.   Best viewed in 8K or 4k HDR TVs.  This video was captured with 3D Binaural Audio ASMR.  Although the audio can be enjoyed with any speakers, headphones provides an immersive experience.  #pacificcoasthighway  #Driving #California #PCH  #drivingtour #sunsetdrive  #sunset  #california #freeway  [8K HDR] Driving Southern California San Diego Coast in 8K HDR Dolby Vision - Oceanside CA to Cornado CA San Diego 8K 4K HDR 60fps with 3D Binaural Audio ASMR  Recording Date: Sept 2023  Timestamps: 0:00:00 Preview 0:01:24 Oceanside Harbor 0:11:22 Oceanside Beach 0:30:00 South Oceanside 0:34:33 Carsbad Village 0:37:10 Carsbad 0:49:35 Encinitas 1:02:57 Solana Beach 1:06:26 Del Mar 1:13:55 Torrey Pines 1:19:37 University of California San Diego 1:23:53 More Torrey Pines 1:25:53 La Jolla Shores 1:34:28 Village of La Jolla 1:42:48 La Jolla 1:52:12 Pacific Beach 1:58:10 Mission Beach 2:03:00 San Diego 2:10:00 Downtown San Diego 2:14:14 Coronado 2:21:10 Coronado Beach (from Top Gun Maverick Beach scene)    Stuff I Use HDR Mastering Monitor:  LG 77-inch Class OLED Z2 Series 8K  https://amzn.to/3scOUPi Favorite Drone: Mavic 3 Pro Cine https://amzn.to/3Mm48Iv Travel Drone: Mavic 3 Mini https://amzn.to/3Xl3L42 Waterproof Carry-On: Pelican https://amzn.to/3k5xEHq Gimbal: https://amzn.to/3k3Cg0C Video Storage: https://amzn.to/3CxrAxx Waterproof Camera Bag: https://amzn.to/3CxrAxx Driving Glasses:  Raybans https://amzn.to/3iwuewL Travel Headphones: Apple https://amzn.to/3k74YO4 Studio Headphones: Apple https://amzn.to/3ZmH80Z Software: Adobe CC https://amzn.to/3ZpiP2F   Custom Built Gaming Editing PC CPU: Intel https://amzn.to/3WWVFyQ GPU: NVIDIA https://amzn.to/3XmdmYG Motherboard: https://amzn.to/3ZmJtsR RAM: Kingston https://amzn.to/3WVzpp4 Silent Case: Corsair Silent https://amzn.to/3GQNpeg Gaming Monitor:  https://amzn.to/3D5DTll Gaming Mouse: Logitech G https://amzn.to/3WVzpp4 Gaming Keyboard: Logitech G https://amzn.to/3XBvNZx Gaming Headset: Arctis Nova Pro Wireless https://amzn.to/3X1nMNi  Recommended Products Make Life Easier: Roborock S7MaxV Ultra  https://amzn.to/3QqG5ZX  All Footage in this video is copyright under licensed or created by me. All footage edited And color corrected by me.  Do not reproduce or reupload.   Thank you for watching and your support!  Copyright © 2023 Relaxing Scenes All Rights Reserved.","[{'title': 'Preview', 'timestamp': '0:00:00'}, {'title': 'Oceanside Harbor', 'timestamp': '0:01:24'}, {'title': 'Oceanside Beach', 'timestamp': '0:11:22'}, {'title': 'South Oceanside', 'timestamp': '0:30:00'}, {'title': 'Carsbad Village', 'timestamp': '0:34:33'}, {'title': 'Carsbad', 'timestamp': '0:37:10'}, {'title': 'Encinitas', 'timestamp': '0:49:35'}, {'title': 'Solana Beach', 'timestamp': '1:02:57'}, {'title': 'Del Mar', 'timestamp': '1:06:26'}, {'title': 'Torrey Pines', 'timestamp': '1:13:55'}, {'title': 'University of California San Diego', 'timestamp': '1:19:37'}, {'title': 'More Torrey Pines', 'timestamp': '1:23:53'}, {'title': 'La Jolla Shores', 'timestamp': '1:25:53'}, {'title': 'Village of La Jolla', 'timestamp': '1:34:28'}, {'title': 'La Jolla', 'timestamp': '1:42:48'}, {'title': 'Pacific Beach', 'timestamp': '1:52:12'}, {'title': 'Mission Beach', 'timestamp': '1:58:10'}, {'title': 'San Diego', 'timestamp': '2:03:00'}, {'title': 'Downtown San Diego', 'timestamp': '2:10:00'}, {'title': 'Coronado', 'timestamp': '2:14:14'}, {'title': 'Coronado Beach (from Top Gun Maverick Beach scene)', 'timestamp': '2:21:10'}]",6,3062025
